證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"1560","中砂","63,414","3,759,090","59.50","59.50","59.10","59.30","+0.30","54"
"1568","倉佑","77,000","1,531,750","19.80","20.00","19.70","19.90","+0.10","47"
"1582","信錦","261,612","21,005,763","80.00","80.70","80.00","80.50","+0.50","222"
"1583","程泰","1,000","57,500","57.50","57.50","57.50","57.50","+0.20","1"
"1587","吉茂","90,625","1,685,081","18.65","18.70","18.55","18.60"," 0.00","47"
"1589","永冠-KY","1,110,100","66,299,139","59.60","60.50","58.90","60.20","+1.70","742"
"1590","亞德客-KY","1,676,671","530,009,870","312.00","320.00","312.00","318.00","+12.00","957"
"1592","英瑞-KY","286,000","6,377,250","22.15","22.55","22.10","22.10","-0.20","195"
"1598","岱宇","465,000","19,471,700","41.40","42.05","41.40","42.00","+0.75","302"
"1604","聲寶","1,229,278","21,198,760","17.25","17.35","17.20","17.25","+0.05","310"
"1605","華新","9,600,917","154,751,203","16.15","16.25","16.00","16.05","-0.10","2,008"
"1608","華榮","489,324","4,954,121","10.20","10.20","10.10","10.20","+0.15","178"
"1609","大亞","2,300,042","25,988,966","11.40","11.45","11.20","11.30","-0.05","679"
"1611","中電","188,011","1,768,323","9.35","9.47","9.35","9.41","-0.01","66"
"1612","宏泰","71,011","714,110","10.10","10.10","10.05","10.05"," 0.00","38"
"1614","三洋電","288,417","8,380,532","28.90","29.30","28.90","29.25","-0.05","153"
"1615","大山","26,000","447,250","17.30","17.30","17.15","17.30"," 0.00","17"
"1616","億泰","62,500","283,619","4.58","4.58","4.52","4.56"," 0.00","20"
"1617","榮星","122,010","1,631,132","13.70","13.75","13.25","13.30","-0.40","60"
"1618","合機","185,440","1,567,055","8.45","8.47","8.40","8.44","+0.01","37"
"1626","艾美特-KY","53,100","1,308,210","25.05","25.05","24.55","24.60","-0.20","35"
"1701","中化","439,922","8,281,636","18.80","18.90","18.75","18.80"," 0.00","192"
"1702","南僑","233,382","12,495,732","53.40","53.90","53.40","53.50","+0.10","181"
"1707","葡萄王","141,672","29,853,280","211.50","212.00","209.50","210.50","+1.50","149"
"1708","東鹼","491,545","12,868,120","26.20","26.30","26.05","26.15","+0.35","191"
"1709","和益","404,459","5,462,243","13.60","13.60","13.45","13.50","-0.15","170"
"1710","東聯","495,287","12,192,415","24.65","24.70","24.55","24.70","+0.05","263"
"1711","永光","282,576","4,788,359","17.00","17.00","16.90","17.00","+0.05","116"
"1712","興農","1,875,958","39,068,108","20.90","20.95","20.70","20.90","+0.05","731"
"1713","國化","20,905","396,556","19.00","19.00","18.95","19.00","-0.05","10"
"1714","和桐","2,787,898","20,562,995","7.47","7.51","7.30","7.35","-0.01","888"
"1717","長興","358,098","9,563,261","26.80","26.90","26.60","26.75","-0.05","243"
"1718","中纖","2,377,566","21,709,020","9.17","9.19","9.10","9.10","-0.06","739"
"1720","生達","57,226","1,880,439","32.90","32.95","32.75","32.80"," 0.00","31"
"1721","三晃","72,686","665,650","9.17","9.19","9.05","9.19","+0.05","23"
"1722","台肥","3,777,483","182,584,968","48.10","48.50","48.10","48.30","+0.05","1,870"
"1723","中碳","132,221","17,418,172","131.00","132.00","131.00","131.50","+0.50","136"
"1724","台硝","86,090","1,137,664","13.25","13.30","13.20","13.20"," 0.00","13"
"1725","元禎","14,333","211,627","14.75","14.80","14.75","14.75","-0.05","10"
"1726","永記","1,001","73,673","73.60","73.60","73.60","73.60"," 0.00","2"
"1727","中華化","36,213","472,619","13.00","13.15","13.00","13.05","+0.05","19"
"1730","花仙子","598,275","53,446,317","89.40","90.30","88.30","90.30","+1.80","527"
"1731","美吾華","166,311","2,232,364","13.50","13.50","13.35","13.40","-0.05","74"
"1732","毛寶","39,000","407,400","10.50","10.50","10.40","10.50"," 0.00","25"
"1733","五鼎","773,068","25,595,519","33.70","33.70","32.55","32.70","-1.10","551"
"1734","杏輝","100,301","1,933,475","19.40","19.45","19.20","19.25","-0.15","75"
"1735","日勝化","1,000","16,050","16.05","16.05","16.05","16.05","+0.15","1"
"1736","喬山","12,150,212","871,760,686","69.40","74.50","68.10","73.80","+3.90","8,135"
"1737","臺鹽","517,729","17,509,593","33.90","34.00","33.70","33.80","-0.10","354"
"1760","寶齡富錦","971,918","86,405,090","89.40","90.30","87.60","90.30","+1.20","812"
"1762","中化生","200,013","5,143,060","26.00","26.00","25.55","25.65","-0.30","140"
"1773","勝一","216,520","18,644,414","86.70","86.70","85.60","85.80","-1.00","159"
"1776","展宇","11,100","183,540","16.55","16.55","16.40","16.40","-0.15","10"
"1783","和康生","55,001","1,305,223","23.80","23.90","23.55","23.80","+0.25","39"
"1786","科妍","165,031","10,265,258","62.60","63.00","61.80","62.50","+0.60","145"
"1789","神隆","310,474","7,581,183","24.65","24.65","24.25","24.35","-0.30","181"
"1802","台玻","888,059","10,686,661","12.10","12.10","12.00","12.05"," 0.00","279"
"1805","寶徠","13,437","129,333","9.70","9.70","9.50","9.69","-0.01","12"
"1806","冠軍","159,661","1,110,567","6.95","7.05","6.91","7.05","+0.09","55"
"1808","潤隆","484,000","30,639,500","63.40","63.80","63.00","63.30","+0.60","377"
"1809","中釉","11,276,292","167,456,925","14.70","15.10","14.55","14.95","+0.15","4,166"
"1810","和成","91,214","723,308","7.95","7.95","7.91","7.93","-0.01","29"
"1817","凱撒衛","79,111","3,010,562","38.10","38.65","37.90","38.05"," 0.00","48"
"1902","台紙","663,874","11,887,511","18.10","18.10","17.80","18.00"," 0.00","238"
"1903","士紙","55,551","1,703,061","30.80","30.85","30.60","30.85","-0.35","41"
"1904","正隆","1,536,226","29,987,627","19.45","19.60","19.40","19.55","+0.15","737"
"1905","華紙","304,369","2,914,565","9.60","9.61","9.56","9.57","-0.03","145"
"1906","寶隆","76,021","1,014,582","13.40","13.45","13.30","13.45","+0.15","58"
"1907","永豐餘","206,008","2,408,483","11.65","11.75","11.65","11.70","+0.10","145"
"1909","榮成","2,042,061","28,678,802","14.10","14.20","13.95","14.05"," 0.00","896"
"2002","中鋼","9,172,717","224,183,274","24.40","24.50","24.30","24.50","+0.15","3,391"
"2002A","中鋼特","19,000","886,700","46.85","46.85","46.65","46.65","-0.10","5"
"2006","東和鋼鐵","319,100","7,116,329","22.30","22.35","22.25","22.35","+0.10","155"
"2007","燁興","110,425","525,679","4.78","4.81","4.74","4.81","-0.01","47"
"2008","高興昌","3,000","37,050","12.35","12.35","12.35","12.35"," 0.00","2"
"2009","第一銅","216,770","2,170,500","10.05","10.05","10.00","10.05"," 0.00","79"
"2010","春源","158,000","1,658,400","10.50","10.55","10.45","10.50","+0.05","35"
"2012","春雨","25,087","580,759","23.30","23.30","23.10","23.15","+0.05","15"
"2013","中鋼構","196,593","5,045,759","25.80","25.80","25.60","25.75"," 0.00","144"
"2014","中鴻","1,621,364","17,038,896","10.50","10.55","10.45","10.50"," 0.00","507"
"2015","豐興","248,693","15,819,241","64.00","64.30","63.10","63.50","-0.50","128"
"2017","官田鋼","233,801","1,875,090","8.03","8.06","8.00","8.00","-0.02","98"
"2020","美亞","515,533","8,516,447","16.70","16.70","16.35","16.35","-0.25","246"
"2022","聚亨","532,545","3,632,449","6.85","6.86","6.77","6.82","+0.01","122"
"2023","燁輝","901,127","8,227,825","9.15","9.19","9.10","9.16","-0.01","326"
"2024","志聯","104,323","1,124,204","10.85","10.85","10.70","10.80","-0.05","33"
"2025","千興","283,150","468,188","1.59","1.69","1.59","1.69","-0.06","35"
"2027","大成鋼","1,520,921","67,079,024","44.20","44.25","43.95","44.15","+0.20","849"
"2028","威致","137,449","1,283,854","9.34","9.37","9.32","9.32","-0.02","42"
"2029","盛餘","87,022","1,611,713","18.45","18.65","18.40","18.60","+0.05","37"
"2030","彰源","438,203","5,570,754","12.80","12.85","12.65","12.75"," 0.00","154"
"2031","新光鋼","741,120","22,958,475","31.50","31.50","30.75","31.00","-0.15","442"
"2032","新鋼","62,302","540,497","8.85","8.85","8.65","8.71","-0.06","33"
"2033","佳大","96,000","967,730","10.05","10.20","9.98","9.98","-0.07","46"
"2034","允強","407,579","10,818,139","26.50","26.65","26.50","26.60","+0.05","140"
"2038","海光","149,000","1,127,790","7.65","7.66","7.54","7.55","-0.04","52"
"2049","上銀","1,818,449","430,558,260","237.00","239.00","233.50","239.00","+7.00","1,448"
"2059","川湖","399,306","115,313,392","295.00","299.50","284.50","287.00","-6.00","356"
"2062","橋椿","412,450","14,500,085","35.35","35.35","35.10","35.20","+0.05","86"
"2069","運錩","96,233","2,269,045","23.60","23.65","23.55","23.55"," 0.00","50"
"2101","南港","941,887","32,811,861","34.35","35.10","34.35","35.00","+0.75","425"
"2102","泰豐","2,540,984","31,653,597","12.50","12.65","12.25","12.35","-0.05","856"
"2103","台橡","430,536","11,813,397","27.60","27.65","27.30","27.60","+0.05","306"
"2104","國際中橡","4,248,229","149,551,913","35.45","35.50","35.00","35.25","+0.20","2,144"
"2105","正新","3,764,866","151,638,824","40.15","40.40","40.10","40.40","+0.25","1,709"
"2106","建大","169,151","4,875,600","28.85","28.90","28.75","28.85"," 0.00","130"
"2107","厚生","2,908,906","52,709,867","17.85","18.40","17.85","18.40","+0.60","1,011"
"2108","南帝","1,843,805","66,055,433","36.30","36.50","35.40","35.65","-1.25","1,141"
"2109","華豐","13,587","151,773","11.25","11.25","11.10","11.25","+0.05","14"
"2114","鑫永銓","114,060","9,664,400","85.20","85.20","84.30","85.00","-0.10","42"
"2115","六暉-KY","11,171","442,121","39.35","39.60","39.35","39.60","+0.25","11"
"2201","裕隆","10,357,942","234,321,490","22.90","22.90","22.45","22.50","-0.05","3,315"
"2204","中華","399,242","10,941,273","27.35","27.50","27.35","27.40","+0.10","218"
"2206","三陽工業","837,142","17,898,673","21.45","21.50","21.30","21.35","-0.05","375"
"2207","和泰車","464,734","240,202,010","514.00","520.00","509.00","518.00","+8.00","376"
"2208","台船","2,034,654","53,273,913","26.50","26.70","26.00","26.20","-0.20","1,083"
"2227","裕日車","81,291","22,538,316","278.00","278.00","276.00","276.50","+0.50","81"
"2228","劍麟","82,500","7,065,249","86.00","86.20","85.30","85.70","+0.30","62"
"2231","為升","1,192,451","331,914,682","272.00","283.50","270.00","280.00","+14.00","1,024"
"2236","百達-KY","7,023","182,365","26.20","26.35","25.75","25.75"," 0.00","6"
"2239","英利-KY","59,067","6,343,303","107.00","108.50","106.50","106.50","-1.00","60"
"2243","宏旭-KY","48,001","699,114","14.90","14.90","14.40","14.80","+0.15","24"
"2301","光寶科","4,352,165","199,321,543","45.20","46.20","45.20","46.00","+0.55","2,224"
"2302","麗正","229,357","1,739,993","7.70","7.70","7.51","7.59","-0.15","103"
"2303","聯電","28,170,170","372,734,948","13.20","13.30","13.05","13.30","+0.25","4,557"
"2305","全友","468,003","2,822,426","6.05","6.05","6.00","6.01"," 0.00","95"
"2308","台達電","4,362,357","659,655,067","152.00","152.00","150.00","151.50","+3.50","2,542"
"2312","金寶","1,497,919","15,254,771","10.15","10.25","10.10","10.20","+0.05","722"
"2313","華通","12,102,578","292,017,791","23.70","24.35","23.70","24.35","+0.95","4,260"
"2314","台揚","1,334,155","32,366,182","24.25","24.60","24.05","24.25"," 0.00","781"
"2316","楠梓電","1,807,454","39,498,911","21.70","22.10","21.55","21.95","+0.45","838"
"2317","鴻海","35,654,410","2,562,142,098","72.00","72.30","71.20","72.10","+1.00","13,300"
"2321","東訊","303,882","647,376","2.14","2.14","2.13","2.13","+0.04","58"
"2323","中環","14,840,905","102,206,193","6.94","6.95","6.82","6.87","+0.01","2,810"
"2324","仁寶","15,604,719","309,404,619","19.85","19.95","19.70","19.85","+0.25","3,638"
"2327","國巨","5,584,311","1,395,538,195","250.00","251.50","247.50","251.00","+6.00","3,737"
"2328","廣宇","1,777,326","41,414,153","23.00","23.50","22.90","23.45","+0.75","924"
"2329","華泰","2,376,793","34,782,033","14.50","14.80","14.40","14.80","+0.45","872"
"2330","台積電","35,521,888","8,442,986,620","237.50","240.00","234.50","240.00","+8.00","15,588"
"2331","精英","210,482","2,544,134","12.10","12.20","12.05","12.05"," 0.00","103"
"2332","友訊","1,653,787","19,463,589","11.75","11.85","11.70","11.75","+0.15","651"
"2337","旺宏","22,197,587","485,658,187","22.00","22.10","21.65","21.90","+0.15","7,314"
"2338","光罩","640,001","14,194,072","22.30","22.40","22.05","22.15","+0.05","307"
"2340","光磊","2,210,859","46,004,591","20.55","21.00","20.45","21.00","+0.60","1,067"
"2342","茂矽","180,366","3,301,146","18.45","18.50","18.20","18.35","-0.10","143"
"2344","華邦電","9,187,171","130,025,049","14.15","14.25","14.05","14.20","+0.25","2,551"
"2345","智邦","6,478,098","789,153,093","122.00","124.00","119.50","123.50","+6.00","3,940"
"2347","聯強","2,098,728","79,967,464","38.00","38.30","37.80","38.10","+0.40","879"
"2348","海悅","158,060","6,333,008","40.20","40.40","39.90","40.00","-0.15","127"
"2349","錸德","4,891,192","42,410,101","8.55","8.89","8.47","8.87","+0.42","1,714"
"2351","順德","291,010","18,383,539","62.80","64.20","62.20","63.90","+1.20","212"
"2352","佳世達","4,069,533","79,858,809","19.65","19.70","19.50","19.65","+0.15","1,198"
"2353","宏碁","6,397,793","123,100,753","19.00","19.40","19.00","19.30","+0.45","2,421"
"2354","鴻準","1,351,259","83,159,066","61.10","61.90","61.10","61.70","+0.60","1,027"
"2355","敬鵬","228,905","7,306,860","31.80","32.00","31.75","32.00","+0.35","179"
"2356","英業達","9,210,722","217,750,736","23.50","23.80","23.45","23.80","+0.85","3,677"
"2357","華碩","812,759","177,166,962","217.50","219.50","216.50","218.50","+2.00","695"
"2358","廷鑫","32,502","507,380","15.70","15.70","15.55","15.65","-0.05","20"
"2359","所羅門","536,415","11,533,955","21.55","21.70","21.35","21.45","-0.05","307"
"2360","致茂","792,350","108,330,450","134.00","138.00","134.00","137.00","+4.00","585"
"2362","藍天","119,518","3,316,746","27.75","27.85","27.70","27.70","+0.05","85"
"2363","矽統","899,489","7,118,876","7.99","8.01","7.88","7.88","-0.07","469"
"2364","倫飛","20,011","51,165","2.54","2.60","2.54","2.59","-0.08","12"
"2365","昆盈","188,746","1,569,718","8.40","8.40","8.28","8.33","+0.01","77"
"2367","燿華","12,275,004","235,683,667","19.05","19.35","18.95","19.30","+0.65","4,064"
"2368","金像電","3,573,646","38,784,221","10.80","11.00","10.75","10.85","+0.10","976"
"2369","菱生","359,331","3,022,405","8.42","8.46","8.35","8.35","-0.03","223"
"2371","大同","24,173,298","530,137,362","22.05","22.65","21.20","21.55","-0.55","10,275"
"2373","震旦行","23,020","2,225,620","96.20","97.00","96.20","96.50","+0.30","24"
"2374","佳能","200,956","2,916,909","14.45","14.65","14.45","14.55","+0.15","140"
"2375","智寶","579,838","23,504,726","40.70","40.80","40.15","40.55","+0.45","416"
"2376","技嘉","2,945,437","133,567,989","45.45","45.65","45.05","45.20","+0.25","1,847"
"2377","微星","4,035,103","324,220,287","81.70","81.70","79.80","80.10"," 0.00","2,632"
"2379","瑞昱","9,374,895","2,009,676,038","212.00","220.00","208.00","218.50","+14.50","6,489"
"2380","虹光","1,480,973","4,829,453","3.30","3.39","3.16","3.16","-0.08","338"
"2382","廣達","5,437,881","318,508,715","58.50","58.90","57.80","58.90","+0.70","2,415"
"2383","台光電","6,317,172","539,632,705","83.20","87.40","82.70","87.00","+5.00","4,193"
"2385","群光","4,320,121","338,816,192","77.60","79.60","77.60","79.00","+2.70","2,750"
"2387","精元","62,108","1,113,036","18.05","18.05","17.85","18.00","+0.10","31"
"2388","威盛","1,417,785","45,874,635","32.25","32.80","31.80","32.50","+1.00","962"
"2390","云辰","514,774","6,164,650","12.05","12.10","11.90","11.90"," 0.00","290"
"2392","正崴","737,407","22,848,317","30.85","31.25","30.70","31.00","+0.35","520"
"2393","億光","274,680","7,786,612","28.50","28.55","28.25","28.35","+0.05","149"
"2395","研華","1,405,941","371,469,778","261.50","269.50","259.50","260.00","+0.50","1,206"
"2397","友通","86,864","7,523,731","86.30","87.90","86.00","86.50","+0.30","50"
"2399","映泰","695,345","7,048,368","10.25","10.25","10.05","10.10","-0.05","291"
"2401","凌陽","382,037","4,566,831","12.00","12.05","11.90","11.95","+0.05","156"
"2402","毅嘉","277,335","4,017,873","14.55","14.55","14.45","14.50","+0.10","126"
"2404","漢唐","4,139,648","615,191,700","147.50","150.50","146.50","150.00","+6.50","3,006"
"2405","浩鑫","1,000,121","12,229,669","12.15","12.40","12.05","12.15","+0.20","476"
"2406","國碩","6,690,136","62,185,608","9.10","9.60","9.03","9.12","+0.10","2,884"
"2408","南亞科","14,247,770","846,787,303","60.00","60.00","59.10","59.30","+0.10","6,716"
"2409","友達","21,862,128","199,466,357","9.10","9.19","9.10","9.11","+0.05","5,320"
"2412","中華電","4,822,206","548,735,814","113.50","114.00","113.50","114.00","+0.50","2,201"
"2413","環科","191,271","3,558,040","18.45","18.75","18.45","18.75","+0.30","108"
"2414","精技","30,546","644,446","21.10","21.15","21.05","21.15","+0.10","20"
"2415","錩新","332,000","7,814,300","23.95","23.95","23.20","23.50","+0.90","207"
"2417","圓剛","137,424","1,488,897","10.90","10.90","10.80","10.90","+0.10","84"
"2419","仲琦","743,860","15,639,230","21.00","21.15","20.95","20.95","+0.25","391"
"2420","新巨","277,350","10,264,694","37.10","37.10","36.95","37.05","+0.20","180"
"2421","建準","713,088","22,857,254","32.00","32.25","31.80","32.00","+0.30","513"
"2423","固緯","524,850","14,273,360","27.50","27.50","27.00","27.30","-0.70","309"
"2424","隴華","682","19,232","0.00","0.00","0.00","0.00"," 0.00","1"
"2425","承啟","115,001","3,175,177","28.00","28.00","27.50","27.70"," 0.00","98"
"2426","鼎元","642,602","10,523,704","16.25","16.45","16.25","16.40","+0.20","386"
"2427","三商電","70,000","719,950","10.30","10.30","10.25","10.30","-0.05","33"
"2428","興勤","325,576","25,911,880","78.50","80.20","78.50","80.00","+2.40","230"
"2429","銘旺科","264,000","3,960,250","15.00","15.05","15.00","15.00"," 0.00","10"
"2430","燦坤","62,743","1,197,767","19.10","19.15","19.05","19.05"," 0.00","43"
"2431","聯昌","125,185","1,241,085","9.95","9.95","9.86","9.88","+0.01","62"
"2433","互盛電","185,545","8,799,335","47.40","47.50","47.35","47.45","+0.05","118"
"2434","統懋","28,068","185,142","6.60","6.60","6.60","6.60","+0.10","16"
"2436","偉詮電","555,712","14,069,339","25.05","25.50","25.05","25.50","+0.50","360"
"2438","翔耀","11,866","80,104","6.72","6.94","6.72","6.94","-0.01","12"
"2439","美律","5,185,277","857,278,280","165.00","167.50","163.50","163.50","+2.00","3,565"
"2440","太空梭","16,000","131,200","8.20","8.20","8.20","8.20"," 0.00","8"
"2441","超豐","273,500","11,344,799","41.30","41.60","41.30","41.30"," 0.00","179"
"2442","新美齊","1,835,587","23,939,050","13.25","13.25","12.95","13.00","-0.10","705"
"2443","新利虹","26,349","88,880","3.39","3.40","3.37","3.37"," 0.00","16"
"2444","兆勁","1,914,975","38,388,557","20.15","20.25","19.80","19.80","-0.35","286"
"2448","晶電","5,587,003","132,795,915","24.10","24.20","23.60","23.60","-0.35","2,453"
"2449","京元電子","4,856,613","127,191,223","26.45","26.45","26.05","26.15","+0.15","3,089"
"2450","神腦","43,001","1,350,531","31.65","31.65","31.25","31.30"," 0.00","32"
"2451","創見","252,135","18,155,074","72.00","72.50","71.50","71.70"," 0.00","185"
"2453","凌群","2,883,501","45,723,239","16.15","16.20","15.30","15.55","-0.10","1,260"
"2454","聯發科","8,082,018","2,538,785,170","313.00","316.50","310.00","316.00","+9.00","5,285"
"2455","全新","2,922,061","217,214,961","73.70","75.40","72.70","74.70","+2.50","2,052"
"2456","奇力新","3,340,297","273,193,149","81.00","82.50","80.60","82.40","+2.70","2,215"
"2457","飛宏","274,924","2,457,161","8.92","8.99","8.91","8.99","+0.09","132"
"2458","義隆","3,670,780","271,605,474","73.30","74.90","72.40","74.80","+2.90","2,353"
"2459","敦吉","37,060","1,418,953","38.30","38.45","38.20","38.30","+0.05","30"
"2460","建通","48,450","481,725","9.99","9.99","9.92","9.99","+0.07","24"
"2461","光群雷","81,003","1,115,089","13.85","13.95","13.65","13.70","-0.15","43"
"2462","良得電","134,224","3,751,285","28.00","28.20","27.75","28.00"," 0.00","72"
"2464","盟立","906,440","41,895,630","46.20","46.55","45.90","46.55","+0.60","633"
"2465","麗臺","375,349","4,566,688","12.40","12.50","12.05","12.05","-0.20","223"
"2466","冠西電","81,000","2,668,450","32.90","33.15","32.85","32.95"," 0.00","47"
"2467","志聖","494,013","15,531,459","31.40","31.60","31.30","31.40","+0.20","345"
"2468","華經","51,000","611,250","12.00","12.00","11.95","12.00"," 0.00","19"
"2471","資通","81,001","1,404,768","17.30","17.40","17.25","17.40","+0.30","58"
"2472","立隆電","90,200","3,217,750","36.30","36.30","35.50","35.70","+0.30","59"
"2474","可成","9,165,695","1,733,217,554","191.50","196.50","182.00","195.50","+5.00","6,907"
"2476","鉅祥","33,306","798,912","23.95","24.05","23.90","24.00","+0.05","26"
"2477","美隆電","53,000","1,144,900","21.30","21.75","21.30","21.70","+0.15","33"
"2478","大毅","1,375,815","60,685,369","43.30","44.95","43.00","44.70","+2.15","1,067"
"2480","敦陽科","313,813","16,341,698","51.60","52.60","51.50","52.40","+0.80","212"
"2481","強茂","2,427,551","60,471,578","24.90","25.25","24.55","25.25","+0.75","1,291"
"2482","連宇","17,000","178,650","10.50","10.55","10.50","10.55"," 0.00","7"
"2483","百容","52,000","1,061,300","20.40","20.45","20.40","20.40"," 0.00","29"
"2484","希華","161,009","3,099,722","19.35","19.35","19.20","19.20"," 0.00","80"
"2485","兆赫","1,189,895","23,881,637","20.05","20.25","19.80","20.25","+0.35","638"
"2486","一詮","115,963","951,735","8.22","8.24","8.19","8.20"," 0.00","58"
"2488","漢平","337,066","12,468,193","37.20","37.25","36.80","36.85","-0.30","295"
"2489","瑞軒","741,042","7,713,277","10.45","10.45","10.35","10.45"," 0.00","288"
"2491","吉祥全","7,770","43,639","5.70","5.70","5.60","5.60","-0.10","11"
"2492","華新科","9,262,972","1,386,751,300","150.00","152.00","147.00","150.00","+3.50","6,210"
"2493","揚博","244,013","7,360,994","30.10","30.25","30.10","30.20","+0.20","116"
"2495","普安","546,087","7,536,586","13.50","13.95","13.50","13.75","+0.25","260"
"2496","卓越","8,060","672,780","84.20","84.20","83.00","83.00","-1.20","8"
"2497","怡利電","136,005","3,512,327","25.70","26.40","25.60","25.60","+0.10","107"
"2498","宏達電","4,903,414","174,149,939","35.60","35.70","35.35","35.50","+0.55","2,551"
"2499","東貝","528,217","4,550,342","8.65","8.68","8.58","8.60","-0.05","290"
"2501","國建","1,205,240","33,844,520","28.10","28.30","27.90","28.05","+0.45","734"
"2504","國產","2,245,507","19,299,036","8.60","8.64","8.55","8.56","+0.01","874"
"2505","國揚","305,669","3,846,525","12.60","12.60","12.55","12.60","+0.05","105"
"2506","太設","84,080","967,412","11.45","11.60","11.45","11.50","+0.05","45"
"2509","全坤建","149,430","4,390,640","29.60","29.60","29.10","29.50","-0.10","75"
"2511","太子","2,366,760","28,097,360","11.85","11.95","11.80","11.90","+0.10","651"
"2514","龍邦","54,508","882,454","16.15","16.25","16.15","16.20","+0.05","53"
"2515","中工","5,496,108","45,700,836","8.34","8.38","8.27","8.31","-0.01","1,043"
"2516","新建","10,216","62,206","6.09","6.09","6.09","6.09"," 0.00","11"
"2520","冠德","8,832,436","252,960,267","29.10","29.10","28.30","28.50","-0.65","4,004"
"2524","京城","188,000","5,122,950","27.35","27.45","27.10","27.45","+0.35","106"
"2527","宏璟","88,896","1,958,593","22.25","22.45","21.85","21.90","-0.30","51"
"2528","皇普","124,434","1,973,750","15.90","15.90","15.80","15.80","+0.05","37"
