證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"2530","華建","210,607","3,334,850","16.00","16.00","15.75","15.85","-0.15","85"
"2534","宏盛","1,175,634","25,192,548","21.25","21.60","21.15","21.40","+0.25","482"
"2535","達欣工","1,063,052","23,102,125","21.80","21.80","21.65","21.70","+0.05","512"
"2536","宏普","909,546","19,527,138","21.60","21.65","21.10","21.60","+0.20","493"
"2537","聯上發","461,976","3,293,925","7.18","7.20","7.08","7.12","-0.03","137"
"2538","基泰","459,721","5,558,336","12.10","12.15","12.05","12.05","+0.05","121"
"2539","櫻花建","37,261","1,111,049","29.90","30.00","29.65","29.80","-0.10","25"
"2540","愛山林","16,079","396,688","24.60","24.75","24.20","24.75","+0.15","7"
"2542","興富發","2,345,452","114,159,719","48.60","48.90","48.55","48.70","+0.20","1,095"
"2543","皇昌","5,575","40,536","7.40","7.40","7.20","7.34","-0.06","7"
"2545","皇翔","174,838","5,193,280","29.55","30.00","29.40","29.75","+0.20","105"
"2546","根基","239,275","8,385,585","35.25","35.25","34.75","35.00","+0.40","177"
"2547","日勝生","779,970","10,425,397","13.50","13.50","13.30","13.35","-0.05","249"
"2548","華固","2,644,848","228,756,479","84.50","87.50","84.20","87.30","+3.50","1,777"
"2597","潤弘","28,000","1,644,600","58.70","58.80","58.60","58.70","+0.20","18"
"2601","益航","3,902,240","47,616,899","12.25","12.35","12.10","12.20"," 0.00","1,057"
"2603","長榮","9,194,503","110,520,836","12.05","12.10","11.90","12.05","+0.10","1,383"
"2605","新興","379,261","5,834,062","15.40","15.45","15.35","15.40"," 0.00","203"
"2606","裕民","271,169","8,443,259","31.10","31.20","31.05","31.20","+0.10","179"
"2607","榮運","890,350","12,545,715","14.10","14.20","14.05","14.10","+0.05","220"
"2608","嘉里大榮","74,058","2,649,538","36.00","36.00","35.70","35.70","-0.10","55"
"2609","陽明","776,162","6,194,012","7.98","8.00","7.96","7.97"," 0.00","215"
"2610","華航","5,439,585","53,141,457","9.80","9.83","9.73","9.74","-0.05","1,604"
"2611","志信","1,007,824","7,996,907","7.79","8.10","7.75","7.83","+0.12","333"
"2612","中航","109,411","3,450,215","31.50","31.70","31.40","31.55","-0.15","94"
"2613","中櫃","97,267","1,266,746","12.95","13.15","12.90","13.15","+0.20","61"
"2614","東森","567,041","7,014,442","12.35","12.45","12.30","12.35","+0.05","269"
"2615","萬海","2,088,296","37,326,866","18.05","18.10","17.80","17.80","-0.15","802"
"2616","山隆","132,322","3,951,310","29.90","30.00","29.80","30.00","+0.05","112"
"2617","台航","479,729","9,352,491","19.40","19.55","19.40","19.55","+0.15","129"
"2618","長榮航","7,468,628","113,463,234","15.25","15.30","15.10","15.20","-0.25","2,043"
"2630","亞航","58,000","1,246,600","21.50","21.60","21.15","21.15","+0.10","34"
"2633","台灣高鐵","10,527,718","491,655,686","46.45","47.00","46.15","46.95","+0.30","5,051"
"2634","漢翔","3,195,798","107,027,077","33.50","33.75","33.20","33.45","+0.35","1,777"
"2636","台驊投控","130,161","3,292,027","25.30","25.35","25.20","25.30","+0.05","98"
"2637","慧洋-KY","294,762","8,797,717","29.80","29.90","29.80","29.85","+0.05","157"
"2642","宅配通","65,000","1,479,800","22.60","22.95","22.60","22.60","+0.10","36"
"2701","萬企","25,648","327,758","12.75","12.85","12.75","12.80","+0.05","18"
"2702","華園","727,425","14,162,489","18.75","20.20","18.75","19.85","+1.45","505"
"2704","國賓","193,734","4,285,098","22.20","22.20","22.05","22.10"," 0.00","87"
"2705","六福","560,782","3,823,892","6.89","6.89","6.79","6.81","-0.08","236"
"2706","第一店","134,906","1,954,093","14.45","14.50","14.45","14.50","+0.10","70"
"2707","晶華","884,629","153,877,134","169.00","177.50","168.50","177.50","+8.50","799"
"2712","遠雄來","100","4,340","0.00","0.00","0.00","0.00"," 0.00","2"
"2722","夏都","5,000","118,750","23.35","23.85","23.35","23.85","X0.00","3"
"2723","美食-KY","787,780","133,531,940","163.50","175.00","163.00","171.50","+9.50","673"
"2727","王品","256,809","22,214,069","85.50","87.30","85.50","87.10","+1.90","223"
"2731","雄獅","110,101","9,271,559","84.50","84.70","83.90","84.50"," 0.00","92"
"2739","寒舍","45,053","1,314,299","29.10","29.30","29.10","29.25","-0.05","40"
"2748","雲品","22,000","1,344,900","61.40","61.50","61.00","61.00","-0.10","21"
"2801","彰銀","37,759,797","800,657,099","20.70","21.45","20.70","21.45","+0.75","5,684"
"2809","京城銀","771,616","25,949,825","33.60","33.75","33.45","33.70","+0.25","383"
"2812","台中銀","9,990,504","126,809,405","12.60","12.75","12.55","12.70","+0.15","2,409"
"2816","旺旺保","140,271","2,812,640","20.05","20.10","20.05","20.05","+0.05","80"
"2820","華票","629,617","9,343,103","14.85","14.90","14.80","14.90","+0.05","142"
"2823","中壽","8,062,255","194,451,421","24.00","24.25","23.90","24.25","+0.25","2,560"
"2832","台產","106,149","2,169,196","20.45","20.45","20.40","20.45"," 0.00","44"
"2834","臺企銀","33,599,215","460,751,644","13.65","13.80","13.60","13.75","+0.20","6,142"
"2836","高雄銀","657,927","6,399,592","9.69","9.76","9.67","9.71","+0.02","195"
"2838","聯邦銀","1,901,834","22,139,849","11.50","11.70","11.50","11.65","+0.15","599"
"2838A","聯邦銀甲特","64,008","3,497,335","54.70","54.70","54.60","54.70"," 0.00","23"
"2841","台開","4,451,305","43,929,475","9.70","9.97","9.65","9.92","+0.32","1,451"
"2845","遠東銀","5,945,711","72,357,853","12.15","12.25","12.10","12.20","+0.10","969"
"2849","安泰銀","182,350","2,771,904","15.10","15.35","15.10","15.30","+0.05","62"
"2850","新產","197,357","7,955,668","40.40","40.45","40.15","40.25","+0.25","142"
"2851","中再保","350,859","6,523,926","18.65","18.70","18.50","18.60","-0.05","152"
"2852","第一保","132,254","1,966,406","14.90","14.95","14.80","14.90"," 0.00","60"
"2855","統一證","1,503,115","20,318,704","13.50","13.60","13.45","13.50","+0.05","295"
"2867","三商壽","1,514,282","16,167,487","10.65","10.75","10.60","10.65","+0.05","465"
"2880","華南金","11,826,727","253,244,003","21.35","21.50","21.35","21.40","+0.10","3,928"
"2881","富邦金","12,500,641","549,668,794","44.00","44.20","43.65","44.15","+1.00","4,466"
"2881A","富邦特","35,253","2,294,418","64.80","65.20","64.80","65.20","+0.10","25"
"2881B","富邦金乙特","35,476","2,223,249","62.50","62.80","62.50","62.80","+0.10","23"
"2882","國泰金","17,046,063","703,520,954","41.30","41.45","41.00","41.35","+0.60","5,135"
"2882A","國泰特","45,858","2,937,025","64.00","64.20","64.00","64.20","+0.10","18"
"2882B","國泰金乙特","260,511","16,307,686","62.60","62.70","62.50","62.70"," 0.00","14"
"2883","開發金","17,494,311","166,388,304","9.52","9.53","9.47","9.53","+0.08","3,777"
"2884","玉山金","24,046,723","656,807,753","27.40","27.45","27.20","27.30","-0.10","6,319"
"2885","元大金","16,387,213","296,202,231","18.05","18.15","18.00","18.10","+0.05","3,280"
"2886","兆豐金","21,804,427","695,664,656","31.70","32.05","31.60","31.95","+0.25","6,726"
"2887","台新金","26,411,890","377,377,973","14.25","14.35","14.25","14.30","+0.05","5,993"
"2887E","台新戊特","8,400","464,880","55.30","55.40","55.30","55.40","+0.10","8"
"2887F","台新戊特二","15,741","810,511","51.50","51.50","51.50","51.50"," 0.00","17"
"2888","新光金","39,953,399","353,316,354","8.80","8.89","8.78","8.84","+0.09","5,299"
"2889","國票金","3,371,835","35,399,348","10.55","10.55","10.45","10.55","+0.05","592"
"2890","永豐金","17,806,060","222,095,223","12.50","12.55","12.35","12.45","-0.05","2,669"
"2891","中信金","41,887,190","890,416,555","21.25","21.40","21.15","21.30","+0.25","9,626"
"2891B","中信金乙特","40,731","2,618,284","64.20","64.30","64.20","64.30"," 0.00","18"
"2891C","中信金丙特","72,368","4,423,111","61.10","61.20","61.10","61.20","+0.10","92"
"2892","第一金","19,320,686","438,793,214","22.65","22.80","22.60","22.75","+0.05","6,289"
"2897","王道銀行","2,568,567","21,690,837","8.32","8.50","8.32","8.43","+0.12","736"
"2897A","王道銀甲特","128,000","1,330,950","10.40","10.40","10.35","10.40"," 0.00","35"
"2901","欣欣","51,666","1,239,750","23.90","24.00","23.90","24.00"," 0.00","15"
"2903","遠百","4,555,468","82,515,078","17.80","18.25","17.80","18.25","+0.50","1,455"
"2904","匯僑","47,128","1,103,398","23.40","23.45","23.40","23.45","+0.05","27"
"2905","三商","165,478","2,946,528","17.80","17.90","17.80","17.85","+0.10","93"
"2906","高林","184,709","2,008,507","10.90","10.95","10.80","10.90"," 0.00","41"
"2908","特力","111,629","2,377,696","21.35","21.35","21.20","21.30","-0.05","81"
"2910","統領","3,024","81,043","27.00","27.00","26.40","27.00"," 0.00","4"
"2911","麗嬰房","74,656","573,898","7.69","7.70","7.66","7.70","+0.01","41"
"2912","統一超","887,681","268,490,159","300.00","304.00","300.00","303.50","+2.50","783"
"2913","農林","1,681,703","27,831,971","16.60","16.65","16.50","16.50"," 0.00","661"
"2915","潤泰全","1,476,059","102,598,095","69.20","69.90","69.20","69.40","+0.90","811"
"2923","鼎固-KY","8,000","174,700","22.10","22.10","21.60","21.80"," 0.00","7"
"2929","淘帝-KY","126,541","10,664,798","84.20","84.70","84.00","84.30","+0.30","125"
"2936","客思達-KY","16,000","399,350","24.95","25.10","24.80","25.10","-0.05","10"
"2939","凱羿-KY","48,010","5,029,045","104.00","105.50","104.00","104.00","+1.00","44"
"3002","歐格","30,100","302,136","10.00","10.10","9.97","9.97","-0.03","22"
"3003","健和興","227,552","9,126,973","40.30","40.35","39.55","40.15","+0.05","178"
"3004","豐達科","1,362,734","121,679,071","89.90","90.30","88.20","89.70","+0.50","892"
"3005","神基","1,992,182","87,250,642","44.00","44.50","43.45","43.65","+0.35","1,137"
"3006","晶豪科","295,268","8,875,092","30.00","30.15","29.90","30.05","+0.30","164"
"3008","大立光","1,207,618","4,244,921,849","3,550.00","3,555.00","3,470.00","3,520.00","+50.00","1,121"
"3010","華立","37,435","2,010,657","53.40","53.80","53.40","53.70","+0.40","36"
"3011","今皓","44,545","312,415","7.00","7.06","7.00","7.01","+0.01","29"
"3013","晟銘電","114,330","1,711,916","14.95","15.05","14.95","14.95"," 0.00","78"
"3014","聯陽","197,984","6,737,053","33.75","34.20","33.75","34.05","+0.35","135"
"3015","全漢","69,473","1,360,723","19.70","19.70","19.55","19.55","-0.10","49"
"3016","嘉晶","1,197,301","48,010,192","39.85","40.50","39.70","40.10","+0.95","762"
"3017","奇鋐","33,077,452","1,160,438,161","33.70","36.05","33.60","35.90","+3.10","16,231"
"3018","同開","54,445","1,529,278","28.40","28.40","27.85","28.00","-0.15","61"
"3019","亞光","3,109,407","226,350,455","72.20","73.50","71.40","73.50","+3.50","2,246"
"3021","鴻名","21,012","309,876","14.80","14.80","14.70","14.80","+0.05","15"
"3022","威強電","66,349","2,165,121","33.10","33.10","32.50","32.60","+0.05","56"
"3023","信邦","435,282","47,859,238","111.00","111.00","109.50","109.50","+1.00","337"
"3024","憶聲","54,044","367,300","6.82","6.82","6.78","6.81","-0.01","27"
"3025","星通","89,014","1,818,233","20.60","20.80","20.15","20.40","+0.35","68"
"3026","禾伸堂","894,588","84,896,370","94.90","95.50","93.90","95.20","+2.10","779"
"3027","盛達","230,121","1,895,276","8.30","8.35","8.20","8.33","+0.11","81"
"3028","增你強","301,517","6,764,485","22.40","22.60","22.30","22.50","+0.10","185"
"3029","零壹","2,139,669","59,927,877","27.70","28.45","27.65","28.45","+1.05","1,115"
"3030","德律","787,366","40,668,468","51.70","51.90","51.50","51.60","-0.10","448"
"3031","佰鴻","120,645","1,420,559","11.70","11.85","11.70","11.85","+0.20","71"
"3032","偉訓","52,308","1,415,311","27.20","27.20","27.00","27.15","+0.20","50"
"3033","威健","362,637","7,150,576","19.70","19.80","19.70","19.70","+0.05","171"
"3034","聯詠","13,707,459","2,159,781,358","155.00","160.50","154.50","159.50","+10.00","8,130"
"3035","智原","2,666,206","120,306,951","44.95","45.75","44.70","44.70","+0.80","1,789"
"3036","文曄","870,784","33,599,172","38.50","38.80","38.45","38.70","+0.40","586"
"3037","欣興","58,145,792","1,757,409,552","29.35","31.00","29.20","31.00","+2.35","21,326"
"3038","全台","1,192,558","18,318,894","15.40","15.60","15.20","15.55","+0.40","449"
"3040","遠見","34,861","1,087,203","31.00","31.35","31.00","31.25","+0.25","33"
"3041","揚智","1,338,063","12,427,014","9.45","9.45","9.19","9.20","-0.13","539"
"3042","晶技","296,147","9,956,140","33.55","33.70","33.45","33.70","+0.30","213"
"3043","科風","16,943","40,201","2.40","2.40","2.37","2.40"," 0.00","12"
"3044","健鼎","935,958","90,955,788","96.60","97.70","96.60","97.70","+1.20","742"
"3045","台灣大","3,378,773","402,320,487","118.50","119.50","118.50","119.50","+1.00","1,649"
"3046","建碁","4,349","99,154","22.80","22.85","22.80","22.80","+0.25","6"
"3047","訊舟","1,250,968","12,849,924","10.40","10.45","10.15","10.20","-0.20","504"
"3048","益登","99,908","1,337,420","13.45","13.45","13.35","13.35","+0.05","62"
"3049","和鑫","22,225,239","315,489,346","14.25","14.40","14.00","14.10","+0.10","5,224"
"3050","鈺德","593,839","6,453,329","10.75","10.95","10.75","10.95","+0.25","228"
"3051","力特","1,764,746","5,460,561","3.05","3.23","3.05","3.09","+0.04","229"
"3052","夆典","64,353","521,677","8.14","8.14","8.07","8.12","+0.02","32"
"3054","立萬利","3,570","88,520","25.00","25.00","24.70","24.80","-0.20","6"
"3055","蔚華科","14,696","381,734","26.00","26.10","25.80","25.90","-0.10","19"
"3056","總太","1,070,167","22,370,505","20.90","21.20","20.70","20.75","-0.20","505"
"3057","喬鼎","1,025,291","8,108,542","8.10","8.10","7.72","7.85","-0.13","421"
"3058","立德","90,029","713,916","7.90","8.00","7.85","7.91","+0.01","27"
"3059","華晶科","965,379","24,450,657","25.45","25.50","25.15","25.25","+0.30","559"
"3060","銘異","162,802","2,163,484","13.45","13.45","13.20","13.30","-0.05","111"
"3062","建漢","2,528,362","38,693,842","14.90","15.55","14.75","15.55","+0.85","914"
"3090","日電貿","386,226","20,384,326","52.70","53.00","52.60","52.80","+0.40","295"
"3094","聯傑","37,302","658,952","17.60","17.80","17.60","17.80","+0.20","29"
"3130","一零四","2,538","428,651","169.50","169.50","168.50","168.50","+1.00","6"
"3149","正達","448,851","4,978,365","11.30","11.30","10.95","10.95","-0.20","179"
"3164","景岳","52,101","1,353,665","25.85","26.30","25.75","25.85","-0.10","17"
"3167","大量","307,604","12,575,838","41.00","41.05","40.70","40.80"," 0.00","180"
"3189","景碩","1,734,933","69,583,420","40.10","40.35","39.90","39.95","+0.10","967"
"3209","全科","170,244","3,215,058","18.90","19.05","18.85","18.90"," 0.00","105"
"3229","晟鈦","68,488","873,097","13.10","13.10","12.50","12.80","-0.30","50"
"3231","緯創","30,445,399","732,186,526","24.00","24.50","23.75","24.10","+1.25","9,425"
"3257","虹冠電","489,871","27,997,652","58.90","59.10","56.00","57.10","-1.60","276"
"3266","昇陽","37,026","411,388","11.20","11.20","11.10","11.15","+0.05","14"
"3296","勝德","88,010","1,492,367","17.25","17.25","16.80","16.80","-0.50","49"
"3305","昇貿","19,062","387,605","20.35","20.35","20.25","20.35"," 0.00","14"
"3308","聯德","153","888","0.00","0.00","0.00","0.00"," 0.00","3"
"3311","閎暉","984,393","13,858,702","13.95","14.20","13.80","14.05","+0.15","236"
"3312","弘憶股","503,131","6,321,284","12.50","12.70","12.50","12.50","+0.25","236"
"3321","同泰","392,000","5,462,500","14.00","14.25","13.70","13.95","-0.10","156"
"3338","泰碩","15,362,373","820,966,639","51.70","54.80","51.40","54.80","+4.90","8,291"
"3346","麗清","86,000","2,908,300","33.75","34.40","33.70","33.80","+0.05","64"
"3356","奇偶","688,374","23,408,604","34.20","34.40","33.35","34.00","+0.15","479"
"3376","新日興","3,094,491","340,489,510","110.00","113.00","107.00","110.50","+4.00","1,773"
"3380","明泰","1,579,018","30,017,442","19.00","19.20","18.85","19.10","+0.20","574"
"3383","新世紀","35,042","36,343","1.06","1.06","1.02","1.02","-0.02","7"
"3406","玉晶光","13,223,344","4,221,211,589","320.50","323.00","315.00","321.00","+8.50","9,808"
"3413","京鼎","458,104","53,365,064","117.50","117.50","115.00","116.00","+1.00","362"
"3416","融程電","36,269","1,967,787","54.50","54.50","54.10","54.40","+0.20","25"
"3419","譁裕","453,150","6,594,445","14.50","14.65","14.45","14.55","+0.15","221"
"3432","台端","26,020","371,986","14.35","14.35","14.20","14.25","-0.10","16"
"3437","榮創","257,410","3,587,931","14.00","14.05","13.85","14.00","+0.20","150"
"3443","創意","2,028,090","419,135,940","208.00","210.00","202.00","210.00","+5.50","1,696"
"3450","聯鈞","1,323,466","71,734,705","54.80","55.20","53.50","54.00","-0.30","953"
"3454","晶睿","3,176,734","413,842,315","127.00","134.00","125.00","128.50","+2.50","1,927"
"3481","群創","75,527,334","535,285,290","7.17","7.18","7.03","7.06","-0.09","12,156"
"3494","誠研","85,569","357,935","4.18","4.21","4.17","4.20","+0.05","33"
"3501","維熹","94,035","4,905,532","52.50","52.50","52.00","52.10","-0.10","59"
"3504","揚明光","2,867,253","263,984,049","93.00","93.00","91.50","92.00","+2.00","2,120"
"3515","華擎","19,124","1,140,497","59.80","59.80","59.40","59.60","+0.30","21"
"3518","柏騰","45,506","765,474","16.90","16.90","16.65","16.75","+0.10","32"
"3528","安馳","167,133","6,732,794","40.30","40.30","40.25","40.30","+0.05","113"
"3530","晶相光","25,000","1,806,800","72.40","72.50","72.00","72.30","+0.50","25"
"3532","台勝科","509,391","51,712,382","101.50","102.00","101.00","102.00","+2.10","415"
"3533","嘉澤","1,222,285","244,644,068","199.50","203.00","198.50","200.00","+5.00","1,099"
"3535","晶彩科","13,461,150","460,431,829","33.90","34.90","33.50","33.90","+0.90","7,645"
"3536","誠創","39,000","267,740","6.86","6.98","6.83","6.87","+0.04","19"
"3545","敦泰","1,164,906","25,324,214","21.70","21.95","21.55","21.60"," 0.00","624"
"3550","聯穎","97,005","1,463,030","15.10","15.15","15.00","15.10","+0.05","57"
"3557","嘉威","314,929","7,809,549","24.60","25.05","24.60","24.75","+0.15","112"
"3563","牧德","526,185","199,888,540","380.00","382.00","377.00","382.00","+7.50","487"
"3576","聯合再生","4,771,788","46,416,238","9.83","9.83","9.68","9.72","+0.05","1,226"
"3579","尚志","363,329","358,356","1.00","1.07","0.93","0.93","-0.06","60"
"3583","辛耘","655,229","41,202,020","62.60","63.50","62.40","62.40","+2.60","539"
"3588","通嘉","22,302","498,602","22.45","22.45","22.25","22.30","+0.10","24"
"3591","艾笛森","36,308","537,390","14.80","14.85","14.70","14.80","-0.05","27"
"3593","力銘","7,678","60,106","7.82","7.86","7.82","7.86","+0.04","10"
"3596","智易","1,102,189","95,923,116","87.40","87.80","86.20","87.80","+2.20","798"
"3605","宏致","61,852","1,336,833","21.40","21.80","21.40","21.70","+0.30","57"
"3607","谷崧","392,143","7,399,687","18.50","19.05","18.40","18.90","+0.50","235"
"3617","碩天","88,000","8,033,000","89.90","91.90","89.90","91.70","+2.00","73"
"3622","洋華","75,013","1,233,757","16.45","16.60","16.40","16.45","+0.05","54"
"3645","達邁","582,432","27,260,940","47.20","47.20","46.60","46.70","+0.40","423"
"3653","健策","6,464,695","766,688,095","112.50","121.00","112.50","121.00","+11.00","4,357"
"3661","世芯-KY","2,777,730","235,802,750","82.60","86.40","82.60","85.40","+3.00","2,051"
"3665","貿聯-KY","785,853","154,242,041","194.50","198.00","194.00","198.00","+8.00","629"
"3669","圓展","51,000","855,700","16.65","17.00","16.50","16.90","+0.25","45"
"3673","TPK-KY","2,028,941","98,958,709","48.80","49.20","48.40","48.70","+0.70","1,384"
"3679","新至陞","31,800","1,513,400","47.80","47.90","47.50","47.55"," 0.00","25"
"3682","亞太電","2,611,247","18,774,164","7.23","7.26","7.15","7.18","+0.02","740"
"3686","達能","415,253","613,997","1.48","1.48","1.45","1.48","+0.03","36"
"3694","海華","77,000","1,539,850","19.80","20.15","19.80","20.00","-0.20","41"
"3698","隆達","652,371","9,157,894","14.05","14.15","13.95","14.05","+0.15","410"
"3701","大眾控","15,990","227,345","14.25","14.25","14.25","14.25","+0.05","30"
"3702","大聯大","1,895,627","74,727,138","39.05","39.55","39.05","39.50","+0.45","1,002"
"3703","欣陸","1,245,565","21,155,247","16.95","17.10","16.90","17.00","+0.05","360"
"3704","合勤控","16,487,635","386,189,703","23.20","23.80","22.90","23.80","+1.05","6,922"
"3705","永信","160,411","6,771,303","42.25","42.35","42.10","42.35","+0.15","93"
"3706","神達","1,072,095","31,524,292","29.40","29.55","29.30","29.45","+0.20","711"
"3708","上緯投控","2,054,411","204,999,433","99.20","102.00","97.80","101.00","+2.50","1,572"
"3711","日月光投控","5,270,282","315,192,957","59.50","60.10","59.10","59.90","+1.20","2,346"
"3712","永崴投控","169,851","3,542,192","21.15","21.15","20.75","20.80","+0.10","150"
"4104","佳醫","138,041","7,018,978","50.70","51.00","50.70","50.80","+0.10","95"
"4106","雃博","123,600","3,101,309","25.20","25.40","24.90","25.00","-0.30","99"
"4108","懷特","214,225","4,000,246","18.90","18.90","18.45","18.55","-0.05","137"
"4119","旭富","1,374,167","124,611,897","90.80","91.40","90.00","90.70","+1.50","925"
"4133","亞諾法","10,000","276,300","27.80","27.80","27.50","27.70","+0.10","10"
"4137","麗豐-KY","257,000","66,486,500","262.00","262.00","255.50","258.50"," 0.00","232"
"4141","龍燈-KY","15,000","256,400","17.15","17.20","17.05","17.15","+0.05","14"
"4142","國光生","1,482,443","29,251,488","19.65","19.85","19.65","19.75","+0.15","632"
"4144","康聯-KY","172,524","4,872,528","28.30","28.40","28.15","28.15"," 0.00","119"
"4148","全宇生技-KY","110,000","6,107,500","55.80","55.90","55.00","55.30","-0.50","59"
"4155","訊映","73,000","2,048,050","28.20","28.25","28.00","28.10","-0.05","40"
"4164","承業醫","259,000","10,190,650","39.40","39.45","39.05","39.45","+0.40","157"
"4190","佐登-KY","1,777,600","200,077,798","112.00","114.50","110.00","114.50","+5.00","1,352"
"4306","炎洲","650,780","8,750,019","13.35","13.60","13.30","13.35"," 0.00","220"
"4414","如興","2,096,194","29,396,652","14.20","14.20","13.95","14.00","-0.15","924"
"4426","利勤","6,374,500","438,792,276","66.00","70.50","65.30","69.60","+5.40","4,302"
"4438","廣越","298,121","44,572,150","149.50","152.00","147.50","148.50","+0.50","264"
"4526","東台","118,040","2,174,189","18.55","18.55","18.35","18.45","-0.10","63"
"4532","瑞智","204,342","5,125,968","25.10","25.20","24.95","25.15","-0.10","148"
"4536","拓凱","304,282","45,617,800","148.50","152.00","146.50","151.00","+4.50","236"
"4540","全球傳動","253,106","15,724,831","62.40","62.50","61.80","62.20","+0.60","196"
"4545","銘鈺","40,045","936,952","23.60","23.60","23.25","23.60"," 0.00","21"
"4551","智伸科","58,000","6,166,000","106.50","107.00","105.00","107.00","+3.00","53"
"4552","力達-KY","101,275","5,062,505","49.80","50.30","49.75","49.95","+0.30","80"
"4555","氣立","8,004","462,928","58.10","59.10","57.30","57.30","-1.10","10"
"4557","永新-KY","55,368","4,094,190","74.00","74.50","73.70","73.70","-0.30","28"
"4560","強信-KY","273,018","14,711,781","54.10","54.20","53.60","54.00"," 0.00","99"
"4562","穎漢","1,000","34,000","34.00","34.00","34.00","34.00","+0.20","1"
"4564","元翎","1,416,000","71,855,500","50.00","51.60","50.00","50.50","+1.00","969"
"4566","時碩工業","57,170","2,364,206","41.20","41.50","41.10","41.40","+0.20","38"
"4720","德淵","23,667","319,587","13.50","13.55","13.50","13.50","+0.05","7"
"4722","國精化","99,150","2,907,946","29.35","29.60","28.80","29.60","+0.10","54"
"4725","信昌化","311,000","6,205,100","20.30","20.30","19.85","19.90","-0.05","156"
